"Date","DPCXRG3M086SBEA"
2009-09-01,90.701
2009-10-01,90.921
2009-11-01,90.968
2009-12-01,91.015
2010-01-01,91.063
2010-02-01,91.112
2010-03-01,91.185
2010-04-01,91.217
2010-05-01,91.308
2010-06-01,91.368
2010-07-01,91.39
2010-08-01,91.472
2010-09-01,91.516
2010-10-01,91.561
2010-11-01,91.668
2010-12-01,91.68
2011-01-01,91.826
2011-02-01,92.011
2011-03-01,92.135
2011-04-01,92.314
2011-05-01,92.513
2011-06-01,92.654
2011-07-01,92.786
2011-08-01,92.987
2011-09-01,93.075
2011-10-01,93.203
2011-11-01,93.366
2011-12-01,93.568
2012-01-01,93.748
2012-02-01,93.891
2012-03-01,94.011
2012-04-01,94.132
2012-05-01,94.262
2012-06-01,94.376
2012-07-01,94.449
2012-08-01,94.511
2012-09-01,94.625
2012-10-01,94.742
2012-11-01,94.801
2012-12-01,94.879
2013-01-01,95.062
2013-02-01,95.168
2013-03-01,95.215
2013-04-01,95.131
2013-05-01,95.229
2013-06-01,95.413
2013-07-01,95.529
2013-08-01,95.582
2013-09-01,95.687
2013-10-01,95.773
2013-11-01,95.883
2013-12-01,95.986
2014-01-01,96.021
2014-02-01,96.065
2014-03-01,96.195
2014-04-01,96.312
2014-05-01,96.432
2014-06-01,96.526
2014-07-01,96.668
2014-08-01,96.712
2014-09-01,96.822
2014-10-01,96.844
2014-11-01,96.907
2014-12-01,96.969
2015-01-01,96.919
2015-02-01,97.036
2015-03-01,97.172
2015-04-01,97.352
2015-05-01,97.418
2015-06-01,97.481
2015-07-01,97.602
2015-08-01,97.642
2015-09-01,97.828
2015-10-01,97.856
2015-11-01,97.939
2015-12-01,97.976
2016-01-01,98.076
2016-02-01,98.262
2016-03-01,98.359
2016-04-01,98.521
2016-05-01,98.669
2016-06-01,98.774
2016-07-01,98.912
2016-08-01,99.03
2016-09-01,99.127
2016-10-01,99.221
2016-11-01,99.265
2016-12-01,99.392
2017-01-01,99.612
2017-02-01,99.756
2017-03-01,99.653
2017-04-01,99.769
2017-05-01,99.79
2017-06-01,99.92
2017-07-01,99.932
2017-08-01,100.032
2017-09-01,100.147
2017-10-01,100.425
2017-11-01,100.437
2017-12-01,100.526
2018-01-01,100.749
2018-02-01,100.948
2018-03-01,101.19
2018-04-01,101.389
2018-05-01,101.571
2018-06-01,101.612
2018-07-01,101.738
2018-08-01,101.716
2018-09-01,101.856
2018-10-01,101.994
2018-11-01,102.205
2018-12-01,102.335
2019-01-01,102.519
2019-02-01,102.584
2019-03-01,102.661
2019-04-01,102.873
2019-05-01,102.974
2019-06-01,103.143
2019-07-01,103.252
2019-08-01,103.363
2019-09-01,103.436
2019-10-01,103.601
2019-11-01,103.658
2019-12-01,103.798
2020-01-01,103.973
2020-02-01,104.18
2020-03-01,104.153
2020-04-01,103.964
2020-05-01,104.077
2020-06-01,104.22
2020-07-01,104.497
2020-08-01,104.778
2020-09-01,104.834
2020-10-01,104.875
2020-11-01,104.936
2020-12-01,105.116
2021-01-01,105.325
2021-02-01,105.573
2021-03-01,105.966
2021-04-01,106.507
2021-05-01,106.964
2021-06-01,107.338
2021-07-01,107.794
2021-08-01,108.071
2021-09-01,108.23
2021-10-01,108.793
2021-11-01,109.283
2021-12-01,109.835
2022-01-01,110.386
2022-02-01,110.93
2022-03-01,111.388
2022-04-01,111.708
2022-05-01,112.126
2022-06-01,112.795
2022-07-01,113.073
2022-08-01,113.62
2022-09-01,114.101
2022-10-01,114.514
2022-11-01,114.732
2022-12-01,115.149
2023-01-01,115.686
2023-02-01,116.166
2023-03-01,116.611
2023-04-01,116.932
2023-05-01,117.292
2023-06-01,117.4
2023-07-01,117.572
2023-08-01,117.667
2023-09-01,118.101
2023-10-01,118.389
