"Date","DPCXRA3M086SBEA"
2022-06-01,115.604
2022-07-01,115.831
2022-08-01,116.359
2022-09-01,116.731
2022-10-01,117.027
2022-11-01,116.449
2022-12-01,116.64
2023-01-01,118.419
2023-02-01,118.356
2023-03-01,117.864
2023-04-01,118.222
2023-05-01,118.536
2023-06-01,118.705
2023-07-01,119.307
2023-08-01,119.442
2023-09-01,120.081
2023-10-01,120.142
