"Date","PITGCG01USM661N"
1975-08-01,28.7718153645408
1975-09-01,29.016473658457
1975-10-01,29.3100636111564
1975-11-01,29.2611319523732
1975-12-01,29.3589952699396
1976-01-01,29.3589952699396
1976-02-01,29.1632686348067
1976-03-01,29.1143369760235
1976-04-01,29.3589952699396
1976-05-01,29.4079269287229
1976-06-01,29.4568585875061
1976-07-01,29.6036535638558
1976-08-01,29.4568585875061
1976-09-01,29.6036535638558
1976-10-01,29.848311857772
1976-11-01,29.9461751753384
1976-12-01,30.1908334692546
1977-01-01,30.3865601043875
1977-02-01,30.7290817158702
1977-03-01,30.9737400097863
1977-04-01,31.2183983037025
1977-05-01,31.5119882564019
1977-06-01,31.5119882564019
1977-07-01,31.6587832327516
1977-08-01,31.6098515739683
1977-09-01,31.756646550318
1977-10-01,32.0013048442342
1977-11-01,32.0991681618007
1977-12-01,32.2459631381504
1978-01-01,32.4906214320665
1978-02-01,32.7842113847659
1978-03-01,32.8820747023324
1978-04-01,33.420322948948
1978-05-01,33.7139129016474
1978-06-01,34.0075028543468
1978-07-01,34.3010928070461
1978-08-01,34.1053661719132
1978-09-01,34.3989561246126
1978-10-01,34.8393410536617
1978-11-01,34.8882727124449
1978-12-01,35.328657641494
1979-01-01,35.9158375468928
1979-02-01,36.3562224759419
1979-03-01,36.6498124286413
1979-04-01,36.992334040124
1979-05-01,37.2859239928234
1979-06-01,37.432718969173
1979-07-01,37.9220355570054
1979-08-01,38.2156255097048
1979-09-01,38.90066873267
1979-10-01,39.4878486380688
1979-11-01,39.8793019083347
1979-12-01,40.2707551786005
1980-01-01,41.0536617191323
1980-02-01,41.7387049420975
1980-03-01,42.1790898711466
1980-04-01,42.4237481650628
1980-05-01,42.6684064589789
1980-06-01,42.9619964116783
1980-07-01,43.8427662697765
1980-08-01,44.2342195400424
1980-09-01,44.2342195400424
1980-10-01,44.772467786658
1980-11-01,44.9192627630076
1980-12-01,45.1149893981406
1981-01-01,45.7021693035394
1981-02-01,46.1425542325885
1981-03-01,46.680802479204
1981-04-01,47.1211874082531
1981-05-01,47.2679823846028
1981-06-01,47.4147773609525
1981-07-01,47.6594356548687
1981-08-01,47.5615723373022
1981-09-01,47.5615723373022
1981-10-01,47.9040939487849
1981-11-01,47.9040939487849
1981-12-01,48.0508889251346
1982-01-01,48.4912738541836
1982-02-01,48.5402055129669
1982-03-01,48.3444788778339
1982-04-01,48.2955472190507
1982-05-01,48.3444788778339
1982-06-01,48.784863806883
1982-07-01,49.1273854183657
1982-08-01,49.2252487359321
1982-09-01,49.0784537595824
1982-10-01,49.5188386886315
1982-11-01,49.6656336649812
1982-12-01,49.7634969825477
1983-01-01,49.3720437122818
1983-02-01,49.4209753710651
1983-03-01,49.2252487359321
1983-04-01,49.1763170771489
1983-05-01,49.3720437122818
1983-06-01,49.5677703474148
1983-07-01,49.6656336649812
1983-08-01,49.7634969825477
1983-09-01,49.6656336649812
1983-10-01,49.9592236176806
1983-11-01,49.8124286413309
1983-12-01,49.8613603001142
1984-01-01,50.3017452291632
1984-02-01,50.5464035230794
1984-03-01,50.6931984994291
1984-04-01,50.5464035230794
1984-05-01,50.5464035230794
1984-06-01,50.4974718642962
1984-07-01,50.7910618169956
1984-08-01,50.5464035230794
1984-09-01,50.25281357038
1984-10-01,50.5464035230794
1984-11-01,50.6931984994291
1984-12-01,50.6442668406459
1985-01-01,50.5953351818626
1985-02-01,50.6442668406459
1985-03-01,50.5464035230794
1985-04-01,50.6931984994291
1985-05-01,50.9378567933453
1985-06-01,50.888925134562
1985-07-01,51.0357201109117
1985-08-01,50.7421301582124
1985-09-01,50.2038819115968
1985-10-01,50.888925134562
1985-11-01,51.2803784048279
1985-12-01,51.4271733811776
1986-01-01,51.1825150872614
1986-02-01,50.2038819115968
1986-03-01,49.3720437122818
1986-04-01,49.0784537595824
1986-05-01,49.4699070298483
1986-06-01,49.5677703474148
1986-07-01,49.1763170771489
1986-08-01,49.2741803947154
1986-09-01,49.2252487359321
1986-10-01,49.6656336649812
1986-11-01,49.6656336649812
1986-12-01,49.616702006198
1987-01-01,49.8613603001142
1987-02-01,50.0081552764639
1987-03-01,50.0570869352471
1987-04-01,50.4974718642962
1987-05-01,50.7421301582124
1987-06-01,50.8399934757788
1987-07-01,51.084651769695
1987-08-01,51.0357201109117
1987-09-01,50.9867884521285
1987-10-01,51.084651769695
1987-11-01,51.1335834284782
1987-12-01,50.888925134562
1988-01-01,51.1335834284782
1988-02-01,50.9378567933453
1988-03-01,51.084651769695
1988-04-01,51.4271733811776
1988-05-01,51.720763333877
1988-06-01,51.8186266514435
1988-07-01,52.356874898059
1988-08-01,52.4058065568423
1988-09-01,52.356874898059
1988-10-01,52.6504648507584
1988-11-01,52.8461914858914
1988-12-01,52.9440548034578
1989-01-01,53.5312347088566
1989-02-01,53.8737563203392
1989-03-01,54.1184146142554
1989-04-01,54.7055945196542
1989-05-01,55.3906377426195
1989-06-01,55.3417060838362
1989-07-01,55.1949111074865
1989-08-01,54.7545261784374
1989-09-01,54.9013211547871
1989-10-01,55.4395694014027
1989-11-01,55.3906377426195
1989-12-01,55.7331593541021
1990-01-01,57.1032458000326
1990-02-01,56.9564508236829
1990-03-01,56.7117925297668
1990-04-01,56.6628608709835
1990-05-01,57.0053824824661
1990-06-01,57.0543141412494
1990-07-01,57.2500407763823
1990-08-01,57.8861523405643
1990-09-01,58.6201272223128
1990-10-01,59.6476920567607
1990-11-01,59.9902136682433
1990-12-01,59.4030337628446
1991-01-01,59.4030337628446
1991-02-01,58.864785516229
1991-03-01,58.5222639047464
1991-04-01,58.6201272223128
1991-05-01,59.0115804925787
1991-06-01,59.0605121513619
1991-07-01,58.9137171750122
1991-08-01,58.9137171750122
1991-09-01,58.8158538574458
1991-10-01,59.1094438101452
1991-11-01,59.1583754689284
